Startup Name,Startup URL,Twitter URL,LinkedIn URL,Logo URL,Description,Founding Year,Invested Year
K12 Techno Services,http://k12technoservices.com/,,https://in.linkedin.com/company/k12-techno-services-pvt.-ltd.,https://d33wubrfki0l68.cloudfront.net/3d0c8da59142d61c674f65fe5a7edcfa9d214c87/a18b8/img/c/k12-logo_w65_h65.jpg,"K12 Techno Services is a K-12 school management company running over 80 schools across Hyderabad, Bangalore and Mumbai.",2010,2010
Koye Pharma,http://koye.co/,https://twitter.com/KoyePharma,https://www.linkedin.com/company/koye-pharmaceuticals-pvt-ltd,https://d33wubrfki0l68.cloudfront.net/42351474b9dff13a036d4ec3848947d120163ac7/c6bc4/img/c/koye-pharma_w65_h65.jpg,Koye Pharma offers Indian branded pharmaceuticals.,2013,2013
LaRenon Healthcare,http://www.larenon.com/,https://twitter.com/LaRenon1,https://www.linkedin.com/company/larenon-healthcare-pvt-ltd,https://d33wubrfki0l68.cloudfront.net/1a34a863fa3a3acad7e751968aa8f6137c903981/5addb/img/c/la-renon-logo_w65_h65.jpg,"LaRenon is an emerging leader in specialty pharmaceuticals focused on nephrology, critical care & neurology segments. ",2007,2007
MedGenome,http://medgenome.com/,https://twitter.com/MedGenomeLabs,https://www.linkedin.com/company/medgenome-labs-pvt-ltd,https://d33wubrfki0l68.cloudfront.net/41f41f8d34067821b5ed69bd876156b4d1fd7b65/23955/img/c/medgenome_w65_h65.jpg,MedGenome Inc. is a genomics-based diagnostics and research company.,2013,2013
Mitra Biotech,http://www.mitrabiotech.com/,https://twitter.com/mitrabiotech,https://www.linkedin.com/company/mitra-biotech,https://d33wubrfki0l68.cloudfront.net/bc630383920c3e1aa66ce5caa4034b28baa4322e/146ee/img/c/mitra-biotech_w65_h65.jpg,Mitra Biotech is a global leader in supporting personalized oncology therapy selection and drug development.,2009,2009
MoneyTap,https://www.moneytap.com/,https://twitter.com/MoneyTapApp,https://www.linkedin.com/company-beta/10642429/,https://d33wubrfki0l68.cloudfront.net/fa1b0ed245e4703439ea31c7e584dbeb3d267ae1/67e55/img/c/moneytap-logo_w65_h65.jpg,MoneyTap is India’s first app-based consumer credit line.,2015,2015
Moonfrog,http://moonfroglabs.com/,https://twitter.com/MoonfrogLabs,https://www.linkedin.com/company/moonfrog-labs,https://d33wubrfki0l68.cloudfront.net/0bb9ed95974df86f160768e7e9184073f44afdef/aabc0/img/c/moonfrog1_w65_h65.png,Moonfrog Labs creates social games for mobile devices.,2013,2013
Near,http://near.co/,https://twitter.com/Near,https://www.linkedin.com/company/-near?trk=prof-0-ovw-curr_pos,https://d33wubrfki0l68.cloudfront.net/3670d1bf98e4c46b5d1a3ef449e8e4ea5948db2f/36d17/img/c/near_w65_h65.png,"Near is the largest location intelligence platform providing real-time information on places, people and products. ",2009,2009
Octro,http://www.octro.com/,https://twitter.com/octroinc,https://www.linkedin.com/company/octro-inc-,https://d33wubrfki0l68.cloudfront.net/8e0c7be54a2a6d18254d3482b444118287a91d57/cefa1/img/c/octro_w65_h65.png,Octro specializes in making multi-player multi-platform social games.,2006,2006
OneAssist,https://www.oneassist.in/,https://twitter.com/oneassist_in,https://www.linkedin.com/company/oneassist-consumer-solutions,https://d33wubrfki0l68.cloudfront.net/7c1b1769630fd2f886aaba3c49a27e4310521b29/912ec/img/c/one-assist-logo_w65_h65.jpg,OneAssist provides health and financial service assistance and protection programs to consumers.,2011,2011
Paras,,,https://in.linkedin.com/company/paras-pharmaceuticals-ltd,https://d33wubrfki0l68.cloudfront.net/73ce400ddae9ffd40f0c3f02bc0d86ad8ce314c1/2a6d3/img/c/paras_w65_h65.png,Paras Pharmaceuticals Limited is one of India's leading FMCG companies with household brands in the Healthcare & Personal care space.,1980,1980
